tag	citation
abc_drugs	doi:10.1109/BIBM.2015.7359766
befree	doi:10.1186/s12859-015-0472-9
bert	arxiv:1810.04805
biobert	arxiv:1901.08746
biocreative_v	doi:10.1093/database/baw068
cbg_ensemble_dl	doi:10.1093/database/bay073
cbg_neural_attention	doi:10.1093/database/bay102
cbg_transfer_learning	doi:10.1093/database/bay066
cocoscore	doi:10.1093/bioinformatics/btz490
comagc	doi:10.1186/1471-2105-14-323
copub_discovery	doi:10.1371/journal.pcbi.1000943
craft	doi:10.1186/1471-2105-13-161
ctd_medline	doi:10.1186/1471-2105-14-181
deep_dive	doi:10.1093/bioinformatics/btv476
deep_dive_dag	doi:10.1007/978-981-13-2354-6_39
dg_text_pubmed	doi:10.1186/s12859-018-2048-y
diseases	doi:10.1016/j.ymeth.2014.11.020
dtminer	doi:10.1093/bioinformatics/btw503
ensemble_svm	doi:10.1371/journal.pone.0200699
eu_adr	doi:10.1016/j.jbi.2012.04.004
full_text_co_abstracts	doi:10.1371/journal.pcbi.1005962
global_network	doi:10.1093/bioinformatics/bty114
hpiminer	doi:10.1016/j.jbi.2015.01.006
lgscore	doi:10.1016/j.jbi.2015.01.003
limtox	doi:10.1093/nar/gkx462
lptk	doi:10.1093/database/bay108
mcdepcnn	arxiv:1706.01556
pkde4j	pmid:26277115
pharmpresso	doi:10.1186/1471-2105-10-S2-S6
polysearch	doi:10.1093/nar/gkv383
ppi_bilstm	doi:10.1016/j.knosys.2018.11.020
ppi_deep_conv	doi:10.1177/0165551516673485
ppi_graph_kernels	doi:10.1186/s13326-017-0168-3
protein_docking	doi:10.1371/journal.pcbi.1004630
protein_protein_co_network	doi:10.1186/s12859-019-2634-7
recursive_nn	doi:10.1093/database/bay060
semi_supervised_vae	arxiv:1901.06103
string	doi:10.1093/nar/gku1003
aimed	doi:10.1016/j.artmed.2004.07.016
bioinfer	doi:10.1186/1471-2105-8-50
hprd50	doi:10.1093/bioinformatics/btl616
ppinterfinder	doi:10.1093/database/bas052
